Çalışan Sicil No;Gösterge Adı ;Periyot;Ürün;Planlanan;Gerçekleşen;Sonuç 
101116;GMM - Hedef Ürünler Net Master Kota Realizasyonu;2;ACETUDIL;4677361,905;4333369,18;92,64558245
101116;GMM - Hedef Ürünler Net Master Kota Realizasyonu;2;BRONCHOREST;2726322,519;1540708,12;56,5123205
101116;GMM - Hedef Ürünler Net Master Kota Realizasyonu;2;DULOXX;4139107,303;6743792,266;162,9286649
101116;GMM - Hedef Ürünler Net Master Kota Realizasyonu;2;ELEKTRA PLUS;13061084,44;11289184,12;86,43374268
101116;GMM - Hedef Ürünler Net Master Kota Realizasyonu;2;EVASIF;4686713,876;4363689,15;93,10764995
101116;GMM - Hedef Ürünler Net Master Kota Realizasyonu;2;GYREX;9379822,06;11658642,17;124,2949183
101116;GMM - Hedef Ürünler Net Master Kota Realizasyonu;2;ILIADIN;19469202,04;22786607,64;117,0392479
101116;GMM - Hedef Ürünler Net Master Kota Realizasyonu;2;MAGNIS;1568459,81;1405267,5;89,5953783
101116;GMM - Hedef Ürünler Net Master Kota Realizasyonu;2;MODET;6415508,01;5983489,83;93,26603319
101116;GMM - Hedef Ürünler Net Master Kota Realizasyonu;2;PARAFLEX;254114;251394,5;98,92981103
101116;GMM - Hedef Ürünler Net Master Kota Realizasyonu;2;PARAFON;16513149,84;14696699,36;88,99997581
101116;GMM - Hedef Ürünler Net Master Kota Realizasyonu;2;PHOCUSS;1254940,977;2307574,83;183,8791522
101116;GMM - Hedef Ürünler Net Master Kota Realizasyonu;2;SECITA;8635205,796;7595241,63;87,95669506
101116;GMM - Hedef Ürünler Net Master Kota Realizasyonu;2;SIDATRIA;3020150,25;1985398,35;65,73839662
